Complexity,Loss,Equation
1,0.6931459,"0.0011787023"
3,0.50375915,"x3 * x1"
5,0.43603194,"(x6 + x2) * x4"
7,0.38437596,"((x7 + x1) * x3) + -0.8663826"
9,0.30463496,"((x3 + x5) * (x7 + x1)) + -2.3727984"
11,0.2979944,"(((x3 + x5) * (x1 + x7)) + -2.3727984) + 0.39029515"
15,0.27986106,"(x4 * (x6 + x2)) + (-2.748211 - (x3 * ((x0 + x8) - x1)))"
17,0.26291955,"(x4 * (x6 + x2)) + (-2.748211 + ((x7 * x5) - (x3 * (x0 - x1))))"
19,0.25497928,"(((x2 + x6) * x4) + -3.3592436) + ((x7 * x5) - (x3 * (x0 + (x8 - x1))))"
